Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
ABCG2;Q9UNQ0;1,327742;2,08E-01;1,293843;3,66E-01;Vicino all'ER;0,033899;Homo sapiens;;Golgi apparatus;Broad substrate specificity ATP-binding cassette transporter ABCG2
ABHD10;Q9NUJ1;1,22989;1,24E-01;0,9714506;5,61E-02;Vicino all'ER;0,2584394;Homo sapiens;Mitochondria;Mitochondria;Palmitoyl-protein thioesterase ABHD10, mitochondrial
ABHD11;Q8NFV4;1,314888;1,96E-01;1,042606;9,26E-02;Vicino all'ER;0,272282;Homo sapiens;Mitochondria;Mitochondria;sn-1-specific diacylglycerol lipase ABHD11
ABHD12;Q8N2K0;0,2785414;0,00E+00;0,3436054;0,00E+00;Vicino al REPLICOMA;0,065064;Homo sapiens;ER;ER;Lysophosphatidylserine lipase ABHD12
ABHD14B;Q96IU4;1,926148;1,00E+00;1,677547;1,00E+00;Vicino all'ER;0,248601;Homo sapiens;;Cytoplasm;Putative protein-lysine deacylase ABHD14B
ABHD16A;"A0A0G2JJD3;O95870";0,6565981;2,64E-03;0,3742718;3,88E-05;Vicino all'ER;0,2823263;Homo sapiens;;ER;Phosphatidylserine lipase ABHD16A
ABHD17A;Q96GS6;1,565875;5,73E-01;1,299608;3,76E-01;Vicino all'ER;0,266267;Homo sapiens;;Golgi apparatus;Alpha/beta hydrolase domain-containing protein 17A
ABHD17B;Q5VST6;1,130208;7,06E-02;1,103685;1,35E-01;Vicino all'ER;0,026523;Homo sapiens;;PM;Alpha/beta hydrolase domain-containing protein 17B
ABHD6;Q9BV23;1,142841;7,62E-02;0,8894578;2,98E-02;Vicino all'ER;0,2533832;Homo sapiens;ER;Mitochondria;Monoacylglycerol lipase ABHD6
ABI1;"A0A0A0MRT6;B6VEX4;Q8IZP0";2,208074;1,00E+00;1,968436;1,00E+00;Vicino all'ER;0,239638;Homo sapiens;;Cytoplasm;Abl interactor 1
ABI2;"A0A0C4DG21;A0A7D9NKC8;E7EP65;E7EW77;F8WAL6;Q9NYB9";2,251091;1,00E+00;2,008486;1,00E+00;Vicino all'ER;0,242605;Homo sapiens;;Cytoplasm;"Abl interactor 2;Abl interactor 2;Abl interactor 2 (Fragment);Abl interactor 2;Abl interactor 2;Abl interactor 2"
ABL1;P00519;1,526461;4,99E-01;1,456237;6,84E-01;Vicino all'ER;0,070224;Homo sapiens;;Cytoplasm;Tyrosine-protein kinase ABL1
ABLIM3;"A0A0C4DGA7;O94929";0,5257516;4,63E-04;0,3921002;1,59E-04;Vicino all'ER;0,1336514;Homo sapiens;;ER;"Actin binding LIM protein family member 3;Actin-binding LIM protein 3"
ABR;Q12979;1,916251;1,00E+00;1,683822;1,00E+00;Vicino all'ER;0,232429;Homo sapiens;;Cytoplasm;Active breakpoint cluster region-related protein
ABRACL;Q9P1F3;2,099681;1,00E+00;1,856659;1,00E+00;Vicino all'ER;0,243022;Homo sapiens;;Cytoplasm;Costars family protein ABRACL
ABRAXAS2;Q15018;2,008739;1,00E+00;1,758838;1,00E+00;Vicino all'ER;0,249901;Homo sapiens;Cytoplasm;Cytoplasm;BRISC complex subunit Abraxas 2
ACAA1;P09110;0,3870023;0,00E+00;0,5375844;1,16E-03;Vicino al REPLICOMA;0,1505821;Homo sapiens;Peroxisome;Peroxisome;3-ketoacyl-CoA thiolase, peroxisomal
ACAA2;P42765;0,6876936;3,37E-03;0,5382401;1,17E-03;Vicino all'ER;0,1494535;Homo sapiens;Mitochondria;Mitochondria;3-ketoacyl-CoA thiolase, mitochondrial
ACACA;Q13085;2,24513;1,00E+00;2,005938;1,00E+00;Vicino all'ER;0,239192;Homo sapiens;protein-complex;protein-complex;Acetyl-CoA carboxylase 1
ACAD11;Q709F0;0,3219224;0,00E+00;0,4552624;3,70E-04;Vicino al REPLICOMA;0,13334;Homo sapiens;Peroxisome;ER;Acyl-CoA dehydrogenase family member 11
ACAD8;Q9UKU7;1,000615;3,26E-02;0,7921157;1,32E-02;Vicino all'ER;0,2084993;Homo sapiens;Mitochondria;Mitochondria;Isobutyryl-CoA dehydrogenase, mitochondrial
ACAD9;Q9H845;0,5944555;1,46E-03;0,5042151;6,94E-04;Vicino all'ER;0,0902404;Homo sapiens;Mitochondria;Mitochondria;Complex I assembly factor ACAD9, mitochondrial
ACADM;"P11310;Q5T4U5";0,8927907;1,50E-02;0,6737476;5,01E-03;Vicino all'ER;0,2190431;Homo sapiens;Mitochondria;Mitochondria;"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"
ACADS;P16219;1,423033;3,29E-01;1,147776;1,73E-01;Vicino all'ER;0,275257;Homo sapiens;Mitochondria;Mitochondria;Short-chain specific acyl-CoA dehydrogenase, mitochondrial
ACADSB;P45954;0,6917349;3,51E-03;0,6775481;5,18E-03;Vicino all'ER;0,0141868;Homo sapiens;Mitochondria;Mitochondria;Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
ACADVL;P49748;0,6205837;1,94E-03;0,5220301;8,85E-04;Vicino all'ER;0,0985536;Homo sapiens;Mitochondria;Mitochondria;Very long-chain specific acyl-CoA dehydrogenase, mitochondrial
ACAP2;Q15057;2,04797;1,00E+00;1,790343;1,00E+00;Vicino all'ER;0,257627;Homo sapiens;;Cytoplasm;Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2
ACAT1;P24752;0,6868066;3,36E-03;0,5275381;9,72E-04;Vicino all'ER;0,1592685;Homo sapiens;Mitochondria;Mitochondria;Acetyl-CoA acetyltransferase, mitochondrial
ACAT2;Q9BWD1;2,065712;1,00E+00;1,823333;1,00E+00;Vicino all'ER;0,242379;Homo sapiens;Cytoplasm;Cytoplasm;Acetyl-CoA acetyltransferase, cytosolic
ACBD3;Q9H3P7;2,083326;1,00E+00;1,838839;1,00E+00;Vicino all'ER;0,244487;Homo sapiens;;Cytoplasm;Golgi resident protein GCP60
ACBD5;"A0A7I2V2Y9;A0A7I2V5E1;A0A7I2YQD7;A0A7I2YQE9;B7Z2R7";0,5222878;4,22E-04;0,4880313;5,42E-04;Vicino all'ER;0,0342565;Homo sapiens;;ER;Acyl-CoA-binding domain-containing protein 5
ACBD6;Q9BR61;2,049874;1,00E+00;1,796284;1,00E+00;Vicino all'ER;0,25359;Homo sapiens;;Cytoplasm;Acyl-CoA-binding domain-containing protein 6
ACCS;Q96QU6;1,076978;5,20E-02;0,9990788;6,85E-02;Vicino all'ER;0,0778992;Homo sapiens;;Nucleus;1-aminocyclopropane-1-carboxylate synthase-like protein 1
ACIN1;S4R3H4;0,8742697;1,32E-02;0,7630576;1,05E-02;Vicino all'ER;0,1112121;Homo sapiens;;Nucleus;Apoptotic chromatin condensation inducer 1
ACLY;P53396;1,784559;9,68E-01;1,607185;9,75E-01;Vicino all'ER;0,177374;Homo sapiens;protein-complex;protein-complex;ATP-citrate synthase
ACO1;P21399;2,363931;1,00E+00;2,134062;1,00E+00;Vicino all'ER;0,229869;Homo sapiens;Cytoplasm;protein-complex;Cytoplasmic aconitate hydratase
ACO2;"A2A274;Q99798";0,8029013;8,06E-03;0,595189;2,22E-03;Vicino all'ER;0,2077123;Homo sapiens;Mitochondria;Mitochondria;"Aconitase 2;Aconitate hydratase, mitochondrial"
ACOT1;Q86TX2;0,9120587;1,71E-02;0,6903422;5,77E-03;Vicino all'ER;0,2217165;Homo sapiens;Mitochondria;Mitochondria;Acyl-coenzyme A thioesterase 1
ACOT13;Q9NPJ3;1,021743;3,72E-02;0,7837719;1,23E-02;Vicino all'ER;0,2379711;Homo sapiens;Mitochondria;Mitochondria;Acyl-coenzyme A thioesterase 13
ACOT2;"A0A087WT95;P49753";1,267827;1,53E-01;1,049098;9,67E-02;Vicino all'ER;0,218729;Homo sapiens;Mitochondria;ER;"Acyl-CoA thioesterase 2;Acyl-coenzyme A thioesterase 2, mitochondrial"
ACOT7;O00154;2,100183;1,00E+00;1,86031;1,00E+00;Vicino all'ER;0,239873;Homo sapiens;Cytoplasm;Cytoplasm;Cytosolic acyl coenzyme A thioester hydrolase
ACOT8;O14734;0,4735207;1,94E-04;0,346562;0,00E+00;Vicino all'ER;0,1269587;Homo sapiens;Peroxisome;ER;Acyl-coenzyme A thioesterase 8
ACOT9;Q9Y305;0,8264787;9,40E-03;0,6247305;2,89E-03;Vicino all'ER;0,2017482;Homo sapiens;;Mitochondria;Acyl-coenzyme A thioesterase 9, mitochondrial
ACOX1;Q15067;0,4891199;2,21E-04;0,6581516;4,10E-03;Vicino al REPLICOMA;0,1690317;Homo sapiens;Peroxisome;Peroxisome;Peroxisomal acyl-coenzyme A oxidase 1
ACOX2;Q99424;0,7778725;6,80E-03;0,6586389;4,10E-03;Vicino all'ER;0,1192336;Homo sapiens;Peroxisome;ER;Peroxisomal acyl-coenzyme A oxidase 2
ACOX3;O15254;1,550659;5,44E-01;1,356265;4,80E-01;Vicino all'ER;0,194394;Homo sapiens;Peroxisome;protein-complex;Peroxisomal acyl-coenzyme A oxidase 3
ACP1;P24666;2,113962;1,00E+00;1,872178;1,00E+00;Vicino all'ER;0,241784;Homo sapiens;;Cytoplasm;Low molecular weight phosphotyrosine protein phosphatase
ACP2;"A0A5F9ZHR7;P11117";1,016241;3,57E-02;0,8659225;2,48E-02;Vicino all'ER;0,1503185;Homo sapiens;Lysosome;Lysosome;Lysosomal acid phosphatase
ACP3;P15309;1,297001;1,79E-01;1,132242;1,59E-01;Vicino all'ER;0,164759;Homo sapiens;;Golgi apparatus;Prostatic acid phosphatase
ACP5;"A0A8Q3SI79;A0A8Q3WKT0;P13686";1,601805;6,45E-01;1,455189;6,84E-01;Vicino all'ER;0,146616;Homo sapiens;;PM;Tartrate-resistant acid phosphatase type 5
ACP6;"A0A0A0MS36;Q9NPH0";1,335998;2,17E-01;1,090851;1,26E-01;Vicino all'ER;0,245147;Homo sapiens;Mitochondria;Mitochondria;"acid phosphatase;Lysophosphatidic acid phosphatase type 6"
ACSF2;Q96CM8;0,9430128;2,17E-02;0,6861281;5,59E-03;Vicino all'ER;0,2568847;Homo sapiens;Mitochondria;Mitochondria;Medium-chain acyl-CoA ligase ACSF2, mitochondrial
ACSF3;"A0A3B3ISK9;F5H5A1;Q4G176";1,348578;2,33E-01;1,080052;1,19E-01;Vicino all'ER;0,268526;Homo sapiens;Mitochondria;Mitochondria;"Acyl-CoA synthetase family member 3;Acyl-CoA synthetase family member 3;Malonate--CoA ligase ACSF3, mitochondrial"
ACSL1;"E7EPM6;P33121";0,7173054;4,20E-03;0,3980878;2,42E-04;Vicino all'ER;0,3192176;Homo sapiens;;ER;"Long-chain-fatty-acid--CoA ligase;Long-chain-fatty-acid--CoA ligase 1"
ACSL3;"A0A7P0TA76;O95573";0,4766025;2,10E-04;0,5365589;1,14E-03;Vicino al REPLICOMA;0,0599564;Homo sapiens;ER;ER;"long-chain-fatty-acid--CoA ligase;Fatty acid CoA ligase Acsl3"
ACSL4;O60488;0,4508254;8,89E-05;0,5459666;1,29E-03;Vicino al REPLICOMA;0,0951412;Homo sapiens;LD;ER;Long-chain-fatty-acid--CoA ligase 4
ACSS2;Q9NR19;2,024009;1,00E+00;1,750337;1,00E+00;Vicino all'ER;0,273672;Homo sapiens;;Cytoplasm;Acetyl-coenzyme A synthetase, cytoplasmic
ACSS3;"A0A0B4J1R2;Q9H6R3";1,273323;1,58E-01;1,042604;9,27E-02;Vicino all'ER;0,230719;Homo sapiens;Mitochondria;Mitochondria;"Acyl-CoA synthetase short-chain family member 3, mitochondrial;Acyl-CoA synthetase short-chain family member 3, mitochondrial"
ACTA1;A0A804HKV3;1,539292;5,25E-01;1,361663;4,91E-01;Vicino all'ER;0,177629;Homo sapiens;;Cytoplasm;Actin, alpha skeletal muscle
ACTA2;P62736;1,579155;5,98E-01;1,370532;5,08E-01;Vicino all'ER;0,208623;Homo sapiens;;Cytoplasm;Actin, aortic smooth muscle
ACTB;A0A2R8YEA7;1,253867;1,43E-01;1,205554;2,38E-01;Vicino all'ER;0,048313;Homo sapiens;;ER;Actin beta (Fragment)
ACTB;P60709;1,333784;2,14E-01;1,208282;2,42E-01;Vicino all'ER;0,125502;Homo sapiens;;PM;Actin, cytoplasmic 1
ACTBL2;Q562R1;1,458795;3,85E-01;1,272573;3,32E-01;Vicino all'ER;0,186222;Homo sapiens;;ER;Beta-actin-like protein 2
ACTG1;P63261;1,355877;2,40E-01;1,264258;3,19E-01;Vicino all'ER;0,091619;Homo sapiens;;Cytoplasm;Actin, cytoplasmic 2
ACTG2;P63267;1,92255;1,00E+00;1,656276;1,00E+00;Vicino all'ER;0,266274;Homo sapiens;;Cytoplasm;Actin, gamma-enteric smooth muscle
ACTL6A;O96019;0,9692681;2,63E-02;0,957144;5,04E-02;Vicino all'ER;0,0121241;Homo sapiens;Nucleus;Nucleus;Actin-like protein 6A
ACTN1;A0A7I2V4Y4;2,041928;1,00E+00;1,805426;1,00E+00;Vicino all'ER;0,236502;Homo sapiens;;Cytoplasm;Alpha-actinin-1
ACTN1;P12814;2,061858;1,00E+00;1,821555;1,00E+00;Vicino all'ER;0,240303;Homo sapiens;;Cytoplasm;Alpha-actinin-1
ACTN2;"A0A494C1A0;A0A804HI95;P35609";2,125892;1,00E+00;1,881449;1,00E+00;Vicino all'ER;0,244443;Homo sapiens;;Cytoplasm;"Actinin alpha 2 (Fragment);Actinin alpha 2;Alpha-actinin-2"
ACTN4;O43707;2,043828;1,00E+00;1,808626;1,00E+00;Vicino all'ER;0,235202;Homo sapiens;;Cytoplasm;Alpha-actinin-4
ACTR10;Q9NZ32;2,139136;1,00E+00;1,917531;1,00E+00;Vicino all'ER;0,221605;Homo sapiens;protein-complex;protein-complex;Actin-related protein 10
ACTR1A;P61163;2,129386;1,00E+00;1,912086;1,00E+00;Vicino all'ER;0,2173;Homo sapiens;protein-complex;protein-complex;Alpha-centractin
ACTR1B;P42025;2,055093;1,00E+00;1,848784;1,00E+00;Vicino all'ER;0,206309;Homo sapiens;protein-complex;protein-complex;Beta-centractin
ACTR2;P61160;2,107618;1,00E+00;1,878099;1,00E+00;Vicino all'ER;0,229519;Homo sapiens;;Cytoplasm;Actin-related protein 2
ACTR3;P61158;2,098766;1,00E+00;1,863026;1,00E+00;Vicino all'ER;0,23574;Homo sapiens;;Cytoplasm;Actin-related protein 3
ACVR1;"A0A804HJQ0;Q04771";1,083203;5,40E-02;1,040734;9,21E-02;Vicino all'ER;0,042469;Homo sapiens;;PM;"Serine/threonine-protein kinase receptor;Activin receptor type-1"
ACVR2A;P27037;1,840287;1,00E+00;1,552472;8,71E-01;Vicino all'ER;0,287815;Homo sapiens;;endosome-vesicle;Activin receptor type-2A
ACY1;"A0A1B0GU86;Q03154";2,10894;1,00E+00;1,864279;1,00E+00;Vicino all'ER;0,244661;Homo sapiens;;Cytoplasm;"N-acyl-aliphatic-L-amino acid amidohydrolase;Aminoacylase-1"
ACYP2;E9PF46;1,671401;7,73E-01;1,468613;7,08E-01;Vicino all'ER;0,202788;Homo sapiens;;ER;Acylphosphatase
ACYP2;P14621;2,098605;1,00E+00;1,859068;1,00E+00;Vicino all'ER;0,239537;Homo sapiens;;Cytoplasm;Acylphosphatase-2
ADA;"A0A8Q3WKY2;A0A8Q3WKZ1";1,879989;1,00E+00;1,616155;9,90E-01;Vicino all'ER;0,263834;Homo sapiens;;endosome-vesicle;Adenosine deaminase
ADAL;Q6DHV7;2,080717;1,00E+00;1,843023;1,00E+00;Vicino all'ER;0,237694;Homo sapiens;;Cytoplasm;Adenosine deaminase-like protein
ADAM10;O14672;0,7047948;3,83E-03;0,6621618;4,33E-03;Vicino all'ER;0,042633;Homo sapiens;ER;ER;Disintegrin and metalloproteinase domain-containing protein 10
ADAM17;P78536;1,097741;5,86E-02;1,057398;1,02E-01;Vicino all'ER;0,040343;Homo sapiens;PM;PM;Disintegrin and metalloproteinase domain-containing protein 17
ADAM23;"E7EWD3;O75077";1,230738;1,25E-01;1,101944;1,34E-01;Vicino all'ER;0,128794;Homo sapiens;;PM;"ADAM metallopeptidase domain 23;Disintegrin and metalloproteinase domain-containing protein 23"
ADAM9;Q13443;1,057355;4,59E-02;1,004622;7,05E-02;Vicino all'ER;0,052733;Homo sapiens;;PM;Disintegrin and metalloproteinase domain-containing protein 9
ADAMTS1;Q9UHI8;1,549774;5,43E-01;1,333459;4,38E-01;Vicino all'ER;0,216315;Homo sapiens;;Cytoplasm;A disintegrin and metalloproteinase with thrombospondin motifs 1
ADAR;P55265;0,7541377;5,65E-03;0,7021313;6,47E-03;Vicino all'ER;0,0520064;Homo sapiens;Nucleus;Nucleus;Double-stranded RNA-specific adenosine deaminase
ADCY9;O60503;1,19258;1,00E-01;1,004207;7,05E-02;Vicino all'ER;0,188373;Homo sapiens;;Nucleus;Adenylate cyclase type 9
ADD1;P35611;1,881896;1,00E+00;1,678289;1,00E+00;Vicino all'ER;0,203607;Homo sapiens;;Translation;Alpha-adducin
ADD3;Q9UEY8;1,510771;4,71E-01;1,374473;5,15E-01;Vicino all'ER;0,136298;Homo sapiens;;Translation;Gamma-adducin
ADGB;"A0A7P0T963;Q8N7X0";1,288057;1,71E-01;1,212176;2,45E-01;Vicino all'ER;0,075881;Homo sapiens;;Nucleus;Androglobin
ADGRA2;Q96PE1;1,390055;2,82E-01;1,213524;2,48E-01;Vicino all'ER;0,176531;Homo sapiens;;Golgi apparatus;Adhesion G protein-coupled receptor A2
ADGRE5;P48960;1,056557;4,57E-02;0,9644295;5,35E-02;Vicino all'ER;0,0921275;Homo sapiens;;PM;Adhesion G protein-coupled receptor E5
ADGRL1;O94910;1,984376;1,00E+00;1,756447;1,00E+00;Vicino all'ER;0,227929;Homo sapiens;;protein-complex;Adhesion G protein-coupled receptor L1
ADGRL2;"A0A6I8PIV6;A0A6I8PLG0;A0A6I8PRJ0;A0A6I8PRM6;A0A6I8PRQ0;A0A6I8PTT2;A0A6I8PUE4;A0A8I5KUX3;B1ALU1;B1ALU3;O95490";1,393374;2,87E-01;1,243418;2,88E-01;Vicino all'ER;0,149956;Homo sapiens;;Golgi apparatus;Adhesion G protein-coupled receptor L2
ADGRV1;Q8WXG9;1,897069;1,00E+00;1,729655;1,00E+00;Vicino all'ER;0,167414;Homo sapiens;;protein-complex;Adhesion G-protein coupled receptor V1
ADH1B;P00325;2,079878;1,00E+00;1,845287;1,00E+00;Vicino all'ER;0,234591;Homo sapiens;Cytoplasm;Cytoplasm;All-trans-retinol dehydrogenase [NAD(+)] ADH1B
ADH5;P11766;2,129022;1,00E+00;1,88537;1,00E+00;Vicino all'ER;0,243652;Homo sapiens;;Cytoplasm;Alcohol dehydrogenase class-3
ADI1;Q9BV57;2,127826;1,00E+00;1,8786;1,00E+00;Vicino all'ER;0,249226;Homo sapiens;;Cytoplasm;Acireductone dioxygenase
ADISSP;Q9GZN8;2,087213;1,00E+00;1,835918;1,00E+00;Vicino all'ER;0,251295;Homo sapiens;;Cytoplasm;Adipose-secreted signaling protein
ADK;A0A5F9ZH72;1,934804;1,00E+00;1,796419;1,00E+00;Vicino all'ER;0,138385;Homo sapiens;Cytoplasm;Nucleus;Adenosine kinase
ADK;P55263;2,078752;1,00E+00;1,835289;1,00E+00;Vicino all'ER;0,243463;Homo sapiens;Cytoplasm;Cytoplasm;Adenosine kinase
ADNP;Q9H2P0;1,462955;3,92E-01;1,252984;3,03E-01;Vicino all'ER;0,209971;Homo sapiens;Nucleus;Nucleus;Activity-dependent neuroprotector homeobox protein
ADO;"A0AA34QVG9;Q96SZ5";2,121059;1,00E+00;1,879958;1,00E+00;Vicino all'ER;0,241101;Homo sapiens;;Cytoplasm;2-aminoethanethiol dioxygenase
ADPGK;Q9BRR6;0,1933623;0,00E+00;0,5020871;6,79E-04;Vicino al REPLICOMA;0,3087248;Homo sapiens;ER;ER;ADP-dependent glucokinase
ADPRS;Q9NX46;2,006198;1,00E+00;1,770629;1,00E+00;Vicino all'ER;0,235569;Homo sapiens;;Cytoplasm;ADP-ribosylhydrolase ARH3
ADRM1;Q16186;2,042627;1,00E+00;1,868603;1,00E+00;Vicino all'ER;0,174024;Homo sapiens;protein-complex;protein-complex;Proteasomal ubiquitin receptor ADRM1
ADSL;A0A1B0GWJ0;1,649822;7,33E-01;1,476879;7,25E-01;Vicino all'ER;0,172943;Homo sapiens;Cytoplasm;protein-complex;Adenylosuccinate lyase
ADSL;"A0A7P0T9A7;P30566";2,150668;1,00E+00;1,920963;1,00E+00;Vicino all'ER;0,229705;Homo sapiens;Cytoplasm;Cytoplasm;Adenylosuccinate lyase
ADSS2;P30520;2,113809;1,00E+00;1,869456;1,00E+00;Vicino all'ER;0,244353;Homo sapiens;Cytoplasm;Cytoplasm;Adenylosuccinate synthetase isozyme 2
AFAP1;Q8N556;0,542581;6,61E-04;0,4854238;5,03E-04;Vicino all'ER;0,0571572;Homo sapiens;;Mitochondria;Actin filament-associated protein 1
AFDN;"A0A804HJ20;A8MQ02;H0Y8U8;J3KN01;P55196";0,7260647;4,46E-03;0,5926179;2,15E-03;Vicino all'ER;0,1334468;Homo sapiens;;Golgi apparatus;"Afadin, adherens junction formation factor;Afadin, adherens junction formation factor;Afadin, adherens junction formation factor;Afadin, adherens junction formation factor;Afadin"
AFG1L;"H0Y5F4;Q8WV93";1,492116;4,38E-01;1,219912;2,55E-01;Vicino all'ER;0,272204;Homo sapiens;Mitochondria;Mitochondria;"AFG1 like ATPase (Fragment);AFG1-like ATPase"
